iter	Passed	Remaining
0	74	74044
1	85	42718
2	97	32447
3	107	26861
4	118	23665
5	129	21418
6	139	19721
7	150	18701
8	161	17827
9	172	17040
10	183	16537
11	195	16060
12	207	15724
13	218	15414
14	229	15097
15	240	14782
16	250	14510
17	260	14237
18	271	14008
19	281	13799
20	291	13603
21	301	13405
22	312	13264
23	322	13124
24	332	12985
25	342	12820
26	352	12694
27	362	12570
28	371	12452
29	381	12350
30	392	12259
31	401	12150
32	411	12060
33	421	11970
34	432	11935
35	443	11889
36	455	11849
37	465	11777
38	474	11704
39	484	11634
40	496	11612
41	507	11584
42	518	11534
43	530	11522
44	544	11558
45	554	11501
46	565	11468
47	584	11601
48	598	11615
49	614	11679
50	629	11718
51	641	11701
52	654	11696
53	665	11658
54	677	11645
55	687	11595
56	699	11568
57	710	11534
58	720	11486
59	730	11444
60	741	11418
61	752	11379
62	762	11334
63	773	11317
64	783	11275
65	794	11240
66	805	11212
67	814	11168
68	825	11137
69	836	11112
70	850	11126
71	860	11085
72	869	11038
73	878	10998
74	889	10975
75	900	10945
76	911	10928
77	922	10904
78	931	10863
79	941	10831
80	971	11023
81	998	11176
82	1016	11227
83	1032	11256
84	1043	11233
85	1057	11238
86	1067	11201
87	1080	11194
88	1093	11197
89	1110	11225
90	1123	11225
91	1139	11242
92	1151	11229
93	1161	11192
94	1171	11159
95	1181	11128
96	1206	11228
97	1217	11206
98	1231	11211
99	1244	11198
100	1260	11215
101	1281	11286
102	1301	11333
103	1316	11341
104	1326	11304
105	1339	11293
106	1351	11276
107	1366	11284
108	1384	11321
109	1403	11359
110	1423	11401
111	1440	11420
112	1480	11623
113	1500	11663
114	1523	11725
115	1536	11711
116	1555	11738
117	1584	11844
118	1604	11876
119	1623	11907
120	1640	11914
121	1655	11911
122	1666	11883
123	1678	11856
124	1690	11830
125	1704	11820
126	1719	11820
127	1728	11777
128	1740	11754
129	1771	11855
130	1808	11997
131	1850	12168
132	1874	12222
133	1903	12299
134	1913	12261
135	1930	12261
136	1940	12226
137	1950	12185
138	1961	12151
139	1972	12116
140	1985	12095
141	1997	12071
142	2011	12054
143	2026	12049
144	2041	12040
145	2054	12018
146	2068	12003
147	2083	11995
148	2096	11972
149	2107	11942
150	2120	11922
151	2134	11907
152	2147	11887
153	2163	11882
154	2183	11905
155	2197	11888
156	2209	11866
157	2225	11862
158	2238	11840
159	2249	11812
160	2265	11805
161	2278	11785
162	2291	11767
163	2303	11741
164	2318	11733
165	2330	11710
166	2343	11691
167	2359	11685
168	2372	11667
169	2386	11650
170	2400	11638
171	2416	11633
172	2428	11609
173	2438	11577
174	2450	11553
175	2461	11524
176	2471	11494
177	2483	11466
178	2493	11436
179	2502	11402
180	2515	11381
181	2528	11363
182	2539	11338
183	2551	11316
184	2564	11297
185	2575	11271
186	2586	11245
187	2599	11229
188	2618	11234
189	2634	11229
190	2646	11211
191	2660	11195
192	2674	11181
193	2684	11154
194	2696	11133
195	2706	11102
196	2717	11076
197	2728	11050
198	2738	11023
199	2749	10997
200	2759	10968
201	2769	10940
202	2781	10919
203	2793	10898
204	2804	10874
205	2813	10845
206	2825	10824
207	2836	10799
208	2844	10767
209	2852	10730
210	2863	10706
211	2873	10680
212	2884	10657
213	2895	10636
214	2907	10616
215	2918	10592
216	2929	10571
217	2941	10550
218	2951	10527
219	2964	10509
220	2976	10491
221	2987	10469
222	2998	10448
223	3010	10429
224	3021	10407
225	3032	10384
226	3043	10362
227	3053	10338
228	3063	10315
229	3073	10291
230	3081	10259
231	3092	10238
232	3103	10216
233	3111	10185
234	3120	10157
235	3128	10126
236	3136	10096
237	3144	10068
238	3152	10039
239	3161	10010
240	3170	9985
241	3179	9957
242	3188	9932
243	3196	9904
244	3206	9880
245	3215	9856
246	3224	9829
247	3231	9799
248	3241	9775
249	3249	9748
250	3258	9724
251	3266	9696
252	3276	9674
253	3286	9651
254	3295	9628
255	3306	9609
256	3316	9589
257	3326	9568
258	3339	9553
259	3347	9526
260	3355	9501
261	3363	9474
262	3374	9456
263	3549	9896
264	3601	9988
265	3624	10000
266	3643	10003
267	3661	10001
268	3673	9982
269	3682	9957
270	3690	9928
271	3699	9901
272	3707	9873
273	3717	9850
274	3729	9831
275	3739	9808
276	3747	9782
277	3755	9753
278	3763	9727
279	3771	9699
280	3781	9675
281	3789	9649
282	3799	9626
283	3808	9601
284	3816	9575
285	3825	9549
286	3833	9524
287	3841	9498
288	3850	9473
289	3863	9457
290	3873	9437
291	3882	9413
292	3890	9388
293	3899	9364
294	3910	9346
295	3922	9328
296	3937	9319
297	3951	9308
298	3964	9293
299	3974	9274
300	3985	9256
301	3998	9240
302	4007	9219
303	4019	9202
304	4032	9188
305	4048	9181
306	4061	9168
307	4072	9150
308	4087	9139
309	4099	9124
310	4111	9109
311	4121	9089
312	4133	9072
313	4144	9054
314	4155	9035
315	4165	9016
316	4175	8997
317	4186	8979
318	4196	8958
319	4206	8939
320	4216	8919
321	4226	8899
322	4236	8879
323	4247	8863
324	4259	8845
325	4268	8825
326	4278	8804
327	4288	8785
328	4299	8768
329	4309	8748
330	4320	8731
331	4330	8713
332	4341	8695
333	4352	8678
334	4366	8667
335	4378	8652
336	4389	8635
337	4399	8617
338	4410	8600
339	4420	8581
340	4431	8564
341	4442	8547
342	4451	8527
343	4462	8508
344	4472	8491
345	4482	8473
346	4496	8460
347	4506	8444
348	4518	8428
349	4529	8411
350	4540	8395
351	4552	8381
352	4564	8366
353	4577	8353
354	4590	8340
355	4601	8324
356	4613	8308
357	4624	8293
358	4637	8279
359	4649	8266
360	4661	8250
361	4673	8236
362	4685	8221
363	4698	8208
364	4710	8194
365	4722	8179
366	4731	8160
367	4744	8147
368	4759	8138
369	4770	8123
370	4781	8106
371	4793	8092
372	4802	8073
373	4814	8058
374	4823	8038
375	4831	8017
376	4839	7998
377	4847	7976
378	4856	7956
379	4863	7935
380	4871	7914
381	4880	7894
382	4888	7875
383	4896	7854
384	4904	7834
385	4912	7814
386	4921	7795
387	4928	7774
388	4937	7755
389	4945	7734
390	4953	7715
391	4962	7697
392	4971	7678
393	4978	7657
394	4988	7641
395	4996	7621
396	5004	7601
397	5012	7581
398	5021	7564
399	5029	7544
400	5038	7525
401	5046	7506
402	5055	7488
403	5062	7468
404	5071	7450
405	5078	7430
406	5087	7412
407	5095	7393
408	5104	7375
409	5112	7356
410	5120	7337
411	5127	7317
412	5135	7299
413	5143	7280
414	5152	7263
415	5160	7244
416	5168	7226
417	5175	7206
418	5183	7188
419	5191	7169
420	5199	7150
421	5206	7131
422	5214	7112
423	5223	7095
424	5231	7077
425	5238	7058
426	5246	7039
427	5254	7022
428	5262	7003
429	5269	6985
430	5277	6967
431	5286	6950
432	5293	6931
433	5303	6916
434	5314	6902
435	5325	6888
436	5343	6883
437	5355	6871
438	5363	6854
439	5374	6839
440	5383	6823
441	5393	6808
442	5403	6793
443	5413	6778
444	5421	6761
445	5431	6747
446	5439	6729
447	5450	6715
448	5459	6700
449	5470	6685
450	5480	6670
451	5489	6655
452	5499	6640
453	5510	6627
454	5522	6615
455	5533	6600
456	5543	6586
457	5552	6570
458	5562	6555
459	5571	6540
460	5582	6527
461	5591	6511
462	5602	6498
463	5613	6485
464	5623	6470
465	5633	6455
466	5645	6442
467	5655	6428
468	5665	6414
469	5675	6399
470	5687	6387
471	5697	6372
472	5707	6359
473	5716	6343
474	5726	6329
475	5737	6316
476	5747	6301
477	5758	6288
478	5769	6274
479	5779	6260
480	5789	6246
481	5799	6232
482	5806	6215
483	5817	6202
484	5825	6186
485	5836	6172
486	5847	6159
487	5855	6143
488	5866	6130
489	5877	6117
490	5885	6101
491	5893	6085
492	5903	6071
493	5914	6058
494	5924	6044
495	5935	6030
496	5945	6017
497	5955	6003
498	5967	5991
499	5978	5978
500	5985	5961
501	5993	5946
502	6001	5930
503	6010	5914
504	6018	5899
505	6026	5883
506	6034	5867
507	6042	5852
508	6050	5836
509	6058	5820
510	6066	5805
511	6074	5789
512	6082	5773
513	6090	5758
514	6098	5743
515	6105	5727
516	6113	5711
517	6120	5695
518	6129	5680
519	6136	5664
520	6145	5649
521	6153	5635
522	6163	5621
