iter	Passed	Remaining
0	12	12637
1	25	12836
2	37	12336
3	48	12114
4	59	11807
5	69	11595
6	82	11673
7	92	11451
8	102	11299
9	112	11143
10	122	11031
11	132	10904
12	142	10818
13	152	10757
14	163	10741
15	173	10662
16	184	10648
17	193	10582
18	203	10513
19	213	10472
20	223	10409
21	233	10398
22	243	10355
23	253	10324
24	263	10281
25	272	10225
26	283	10216
27	292	10163
28	302	10138
29	311	10071
30	321	10045
31	329	9976
32	339	9952
33	348	9902
34	356	9836
35	365	9791
36	375	9781
37	386	9785
38	396	9761
39	412	9897
40	422	9886
41	430	9820
42	438	9762
43	447	9712
44	455	9660
45	463	9616
46	473	9606
47	482	9574
48	492	9556
49	500	9513
50	509	9482
51	518	9446
52	528	9439
53	535	9384
54	543	9339
55	551	9302
56	561	9286
57	572	9292
58	579	9249
59	589	9236
60	598	9213
61	606	9179
62	615	9152
63	623	9116
64	632	9103
65	642	9085
66	653	9103
67	662	9083
68	671	9058
69	679	9022
70	689	9022
71	697	8989
72	705	8960
73	713	8927
74	722	8905
75	729	8874
76	739	8858
77	748	8851
78	757	8826
79	765	8806
80	774	8785
81	782	8756
82	790	8733
83	798	8709
84	807	8689
85	817	8687
86	825	8664
87	834	8651
88	843	8630
89	850	8602
90	859	8587
91	867	8564
92	875	8542
93	885	8534
94	893	8511
95	902	8502
96	911	8483
97	919	8464
98	927	8443
99	936	8424
100	944	8409
101	952	8389
102	961	8371
103	970	8360
104	978	8344
105	989	8343
106	997	8323
107	1005	8304
108	1015	8297
109	1023	8283
110	1031	8262
111	1040	8246
112	1048	8230
113	1056	8214
114	1065	8197
115	1072	8175
116	1081	8161
117	1089	8141
118	1097	8127
119	1106	8113
120	1114	8097
121	1121	8069
122	1129	8054
123	1137	8039
124	1146	8026
125	1154	8011
126	1163	7999
127	1172	7984
128	1180	7968
129	1191	7975
130	1200	7961
131	1209	7954
132	1217	7939
133	1225	7922
134	1234	7908
135	1242	7894
136	1250	7877
137	1259	7865
138	1267	7848
139	1274	7831
140	1283	7817
141	1291	7804
142	1300	7791
143	1308	7777
144	1317	7769
145	1325	7755
146	1334	7740
147	1342	7727
148	1350	7713
149	1359	7704
150	1367	7689
151	1376	7677
152	1384	7664
153	1392	7650
154	1401	7638
155	1409	7624
156	1417	7611
157	1425	7597
158	1433	7583
159	1441	7569
160	1449	7554
161	1457	7540
162	1465	7526
163	1474	7515
164	1482	7500
165	1490	7487
166	1500	7485
167	1508	7472
168	1517	7463
169	1526	7451
170	1534	7440
171	1544	7434
172	1552	7422
173	1561	7410
174	1569	7400
175	1578	7388
176	1586	7375
177	1594	7363
178	1602	7350
179	1610	7336
180	1619	7326
181	1627	7316
182	1636	7305
183	1645	7296
184	1654	7288
185	1663	7281
186	1673	7274
187	1682	7265
188	1691	7256
189	1700	7249
190	1710	7243
191	1721	7243
192	1732	7242
193	1742	7239
194	1752	7232
195	1760	7222
196	1769	7213
197	1778	7204
198	1787	7195
199	1796	7185
200	1805	7175
201	1814	7167
202	1823	7158
203	1832	7148
204	1841	7139
205	1849	7130
206	1858	7121
207	1867	7111
208	1876	7102
209	1885	7091
210	1894	7083
211	1903	7075
212	1912	7067
213	1922	7060
214	1931	7050
215	1939	7040
216	1948	7029
217	1956	7019
218	1965	7008
219	1974	7000
220	1983	6991
221	1992	6981
222	2001	6973
223	2010	6964
224	2019	6956
225	2028	6948
226	2037	6939
227	2048	6935
228	2058	6930
229	2069	6927
230	2079	6923
231	2090	6920
232	2099	6910
233	2108	6900
234	2117	6891
235	2126	6883
236	2135	6874
237	2144	6865
238	2153	6856
239	2162	6847
240	2172	6841
241	2182	6834
242	2190	6825
243	2199	6815
244	2208	6807
245	2217	6797
246	2226	6787
247	2235	6778
248	2244	6768
249	2253	6759
250	2262	6751
251	2271	6741
252	2279	6730
253	2287	6719
254	2296	6708
255	2304	6696
256	2312	6686
257	2320	6674
258	2329	6664
259	2337	6653
260	2345	6642
261	2354	6631
262	2362	6620
263	2370	6608
264	2379	6599
265	2389	6592
266	2397	6582
267	2406	6573
268	2414	6562
269	2423	6552
270	2431	6542
271	2440	6531
272	2447	6518
273	2456	6507
274	2464	6497
275	2472	6486
276	2480	6475
277	2488	6462
278	2496	6451
279	2504	6440
280	2512	6430
281	2520	6417
282	2528	6407
283	2537	6397
284	2545	6386
285	2553	6375
286	2562	6365
287	2570	6354
288	2578	6343
289	2586	6331
290	2594	6320
291	2602	6309
292	2610	6298
293	2618	6287
294	2626	6276
295	2634	6266
296	2643	6256
297	2656	6258
298	2664	6247
299	2672	6235
300	2680	6224
301	2688	6213
302	2696	6203
303	2704	6192
304	2712	6181
305	2721	6171
306	2729	6160
307	2736	6149
308	2745	6139
309	2753	6127
310	2760	6116
311	2769	6106
312	2777	6096
313	2785	6086
314	2794	6076
315	2802	6065
316	2810	6055
317	2818	6044
318	2826	6034
319	2834	6022
320	2842	6012
321	2850	6002
322	2858	5992
323	2867	5982
324	2875	5973
325	2885	5965
326	2895	5958
327	2904	5949
328	2912	5940
329	2921	5931
330	2929	5921
331	2938	5912
332	2948	5905
333	2956	5895
334	2965	5886
335	2975	5879
336	2986	5874
337	2995	5866
338	3004	5857
339	3013	5849
340	3022	5841
341	3030	5831
342	3039	5821
343	3049	5814
344	3062	5813
345	3076	5814
346	3089	5814
347	3101	5810
348	3116	5812
349	3129	5812
350	3142	5809
351	3154	5807
352	3166	5803
353	3178	5800
354	3190	5796
355	3202	5793
356	3214	5789
357	3226	5786
358	3238	5782
359	3255	5787
360	3269	5787
361	3288	5794
362	3302	5795
363	3327	5813
364	3349	5826
365	3372	5842
366	3401	5866
367	3421	5876
368	3437	5878
369	3450	5874
370	3464	5873
371	3474	5866
372	3487	5861
373	3497	5854
374	3508	5847
375	3520	5842
376	3531	5836
377	3542	5828
378	3552	5820
379	3563	5813
380	3575	5808
381	3586	5801
382	3600	5800
383	3615	5799
384	3629	5797
385	3683	5859
386	3705	5868
387	3724	5874
388	3733	5864
389	3742	5853
390	3751	5843
391	3761	5833
392	3771	5824
393	3780	5814
394	3789	5804
395	3798	5793
396	3807	5782
397	3816	5772
398	3825	5761
399	3834	5751
400	3843	5741
401	3853	5732
402	3863	5723
403	3874	5715
404	3885	5708
405	3895	5699
406	3910	5697
407	3920	5688
408	3929	5678
409	3939	5668
410	3948	5658
411	3957	5647
412	3966	5637
413	3975	5627
414	3985	5617
415	3993	5606
416	4002	5596
417	4012	5586
418	4021	5575
419	4030	5565
420	4039	5555
421	4048	5544
422	4056	5533
423	4064	5521
424	4072	5509
425	4082	5500
426	4091	5490
427	4101	5481
428	4111	5472
429	4121	5463
430	4130	5453
431	4139	5442
432	4147	5431
433	4156	5420
434	4164	5409
435	4173	5398
436	4181	5386
437	4189	5375
438	4197	5364
439	4205	5352
440	4213	5341
441	4222	5330
442	4230	5319
443	4238	5307
444	4246	5296
445	4255	5285
446	4264	5275
447	4274	5267
448	4287	5262
449	4297	5252
450	4305	5241
451	4314	5230
452	4322	5219
453	4330	5207
454	4338	5196
455	4346	5185
456	4354	5173
457	4362	5162
458	4370	5151
459	4379	5140
460	4387	5130
461	4396	5119
462	4406	5110
463	4419	5105
464	4431	5098
465	4442	5090
466	4454	5083
467	4464	5074
468	4476	5068
469	4487	5060
470	4499	5053
471	4510	5045
472	4522	5038
473	4533	5030
474	4546	5025
475	4560	5020
476	4575	5016
477	4592	5015
478	4606	5010
479	4620	5005
480	4631	4997
481	4642	4989
482	4653	4980
483	4669	4978
484	4687	4977
485	4705	4976
486	4722	4974
487	4752	4985
488	4765	4979
489	4776	4971
490	4788	4963
491	4800	4956
492	4811	4948
493	4824	4941
494	4836	4934
495	4846	4924
496	4856	4915
497	4866	4905
498	4877	4896
499	4886	4886
500	4896	4876
501	4906	4867
502	4915	4857
503	4926	4848
504	4939	4841
505	4954	4836
506	4970	4833
507	4982	4825
508	4996	4819
